folder,sample,total.leaf.area
C:/Users/marku/Documents/GitHub/2025_greeen_prairie/data/raw/photos_leaf_area,greeen_lux_20250827_Lux_15_DRYARG_01_no_petiole,42.089
C:/Users/marku/Documents/GitHub/2025_greeen_prairie/data/raw/photos_leaf_area,greeen_lux_20250827_Lux_15_DRYARG_01_with_petiole,44.488
C:/Users/marku/Documents/GitHub/2025_greeen_prairie/data/raw/photos_leaf_area,greeen_lux_20250827_Lux_15_DRYARG_02_no_petiole,18.71
C:/Users/marku/Documents/GitHub/2025_greeen_prairie/data/raw/photos_leaf_area,greeen_lux_20250827_Lux_15_DRYARG_02_with_petiole,19.972
C:/Users/marku/Documents/GitHub/2025_greeen_prairie/data/raw/photos_leaf_area,greeen_lux_20250827_Lux_15_DRYARG_03_no_petiole,12.324
C:/Users/marku/Documents/GitHub/2025_greeen_prairie/data/raw/photos_leaf_area,greeen_lux_20250827_Lux_15_DRYARG_03_with_petiole,13.161
C:/Users/marku/Documents/GitHub/2025_greeen_prairie/data/raw/photos_leaf_area,greeen_lux_20250827_Lux_15_DRYARG_04_no_petiole,20.737
C:/Users/marku/Documents/GitHub/2025_greeen_prairie/data/raw/photos_leaf_area,greeen_lux_20250827_Lux_15_DRYARG_04_with_petiole,21.782
C:/Users/marku/Documents/GitHub/2025_greeen_prairie/data/raw/photos_leaf_area,greeen_lux_20250827_Lux_21_DRYARG_01_no_petiole,27.408
C:/Users/marku/Documents/GitHub/2025_greeen_prairie/data/raw/photos_leaf_area,greeen_lux_20250827_Lux_21_DRYARG_01_with_petiole,29.528
C:/Users/marku/Documents/GitHub/2025_greeen_prairie/data/raw/photos_leaf_area,greeen_lux_20250827_Lux_21_DRYARG_02_no_petiole,29.238
C:/Users/marku/Documents/GitHub/2025_greeen_prairie/data/raw/photos_leaf_area,greeen_lux_20250827_Lux_21_DRYARG_02_with_petiole,30.488
C:/Users/marku/Documents/GitHub/2025_greeen_prairie/data/raw/photos_leaf_area,greeen_lux_20250827_Lux_28_DRYARG_01_no_petiole,31.745
C:/Users/marku/Documents/GitHub/2025_greeen_prairie/data/raw/photos_leaf_area,greeen_lux_20250827_Lux_28_DRYARG_01_with_petiole,33.355
C:/Users/marku/Documents/GitHub/2025_greeen_prairie/data/raw/photos_leaf_area,greeen_lux_20250827_Lux_28_DRYARG_02_no_petiole,16.643
C:/Users/marku/Documents/GitHub/2025_greeen_prairie/data/raw/photos_leaf_area,greeen_lux_20250827_Lux_28_DRYARG_02_with_petiole,18.815
C:/Users/marku/Documents/GitHub/2025_greeen_prairie/data/raw/photos_leaf_area,greeen_lux_20250827_Lux_31_DRYARG_01_no_petiole,64.348
C:/Users/marku/Documents/GitHub/2025_greeen_prairie/data/raw/photos_leaf_area,greeen_lux_20250827_Lux_31_DRYARG_01_with_petiole,69.191
C:/Users/marku/Documents/GitHub/2025_greeen_prairie/data/raw/photos_leaf_area,greeen_lux_20250827_Lux_45_DRYARG_01_no_petiole,33.615
C:/Users/marku/Documents/GitHub/2025_greeen_prairie/data/raw/photos_leaf_area,greeen_lux_20250827_Lux_45_DRYARG_01_with_petiole,36.241
C:/Users/marku/Documents/GitHub/2025_greeen_prairie/data/raw/photos_leaf_area,greeen_lux_20250827_Lux_45_DRYARG_02_no_petiole,17.151
C:/Users/marku/Documents/GitHub/2025_greeen_prairie/data/raw/photos_leaf_area,greeen_lux_20250827_Lux_45_DRYARG_02_with_petiole,18.707
C:/Users/marku/Documents/GitHub/2025_greeen_prairie/data/raw/photos_leaf_area,greeen_lux_20250827_Lux_56_DRYARG_01_no_petiole,48.026
C:/Users/marku/Documents/GitHub/2025_greeen_prairie/data/raw/photos_leaf_area,greeen_lux_20250827_Lux_56_DRYARG_01_with_petiole,54.97
