species,number,source,total.leaf.area
AGAFOE,1,NA,12.989
AGAFOE,2,NA,15.159
AGAFOE,3,NA,11.06
AGAFOE,4,NA,15.645
AGAFOE,5,NA,11.863
AGANEP,1,NA,16.339
AGANEP,2,NA,12.875
AGANEP,3,NA,15.549
AGANEP,4,NA,13.706
AGANEP,5,NA,12.182
ALLCER,2,NA,1.115
ALLCER,4,NA,1.402
ALLCER,5,NA,0.791
ANDGER,1,MI,14.142
ANDGER,5,MI,12.268
ANDGER,6,MI,14.763
ANDGER,4,MW,15.139
ANDGER,5,MW,11.904
ANDGER,6,MW,14.097
ANDGER,2,SO,9.782
ANDGER,3,SO,7.887
ANDGER,4,SO,19.805
AQUCAN,1,NA,7.427
AQUCAN,2,NA,13.99
AQUCAN,3,NA,8.811
AQUCAN,4,NA,15.137
AQUCAN,5,NA,10.697
ARNATR,1,NA,20.749
ARNATR,2,NA,22.47
ARNATR,3,NA,14.429
ARNATR,4,NA,19.927
ARNATR,5,NA,16.449
ASCTUB,1,NA,6.464
ASCTUB,2,NA,5.178
ASCTUB,3,NA,2.998
ASCTUB,4,NA,6.252
ASCTUB,5,NA,1.695
ASCVER,1,NA,1.285
ASCVER,2,NA,1.364
ASCVER,5,NA,1.06
ASTCAN,1,NA,6.179
ASTCAN,2,NA,7.017
ASTCAN,3,NA,4.959
ASTCAN,4,NA,7.409
ASTCAN,5,NA,7.49
BAPLAC,2,NA,8.314
BOUCUR,6,NA,3.341
BOUCUR,1,MI,11.253
BOUCUR,3,MI,13.988
BOUCUR,6,MI,10.265
BOUCUR,1,MW,3.229
BOUCUR,5,MW,7.618
BOUCUR,1,SO,8.009
BOUCUR,3,SO,6.83
BOUCUR,4,SO,8.254
CARBIC,1,NA,2.21
CARBIC,2,NA,4.403
CARBIC,3,NA,2.692
CARBRE,1,NA,2.492
CARBRE,2,NA,1.545
CARBRE,3,NA,2.995
CARMOL,1,NA,3.967
CARMOL,2,NA,3.102
CARMOL,3,NA,2.953
CARNOR,1,NA,4.326
CHAFAS,1,MI,11.667
CHAFAS,3,MI,5.494
CHAFAS,4,MI,6.296
CHAFAS,5,MI,5.126
CHAFAS,2,MW,5.483
CHAFAS,3,MW,6.67
CHAFAS,1,SO,6.082
CHAFAS,3,SO,9.52
CHAFAS,4,SO,14.086
CHASFA,2,MI,7.473
CORLAN,3,MI,9.833
CORLAN,2,MW,13.016
CORLAN,3,MW,9.844
CORLAN,1,SO,8.074
CORLAN,2,SO,12.067
CORLAN,3,SO,9.21
CORTRI,1,NA,5.636
CORTRI,2,NA,5.809
CORTRI,3,NA,4.076
DALPUR,2,MI,1.137
DALPUR,4,MI,0.895
DALPUR,2,MW,1.222
DESCAN,1,NA,10.945
DESCAN,2,NA,11.728
DESCAN,3,NA,8.864
DESCAN,4,NA,16.877
DESILL,1,NA,10.027
DESILL,2,NA,7.548
DESILL,3,NA,11.748
DESILL,4,NA,11.873
DESILL,5,NA,6.633
DESMAN,1,NA,3.825
DESMAN,3,NA,2.775
DESMAN,4,NA,3.815
DESMAN,5,NA,3.156
ECHPUR,1,MI,13.558
ECHPUR,2,MI,17.723
ECHPUR,3,MI,16.123
ECHPUR,4,MI,20.601
ECHPUR,5,MI,20.649
ECHPUR,1,MW,37.088
ECHPUR,2,MW,25.111
ECHPUR,4,MW,42.498
ECHPUR,1,SO,19.041
ECHPUR,2,SO,12.981
ECHPUR,3,SO,30.974
ELYCAN,1,MI,15.038
ELYCAN,2,MI,16.246
ELYCAN,3,MI,17.217
ELYCAN,1,SO,5.859
ELYCAN,2,SO,8.973
ELYCAN,3,SO,4.354
ELYVIR,1,NA,8.891
ELYVIR,2,NA,13.812
ELYVIR,3,NA,15.605
ELYVIR,4,NA,10.215
ELYVIR,5,NA,10.171
ERYYUC,1,NA,4.096
ERYYUC,2,NA,6.744
ERYYUC,3,NA,7.518
ERYYUC,4,NA,6.994
ERYYUC,5,NA,5.168
GAUBIE,1,NA,22.415
HEHEL_,6,NA,10.446
HELHEL,1,NA,12.329
HELHEL,2,NA,10.5
HELHEL,3,NA,10.766
HELHEL,4,NA,9.115
HELHEL,5,NA,5.01
HELOCC,2,NA,7.461
HELOCC,3,NA,11.484
HELOCC,4,NA,4.305
HELOCC,5,NA,4.717
KOECRI,1,MI,1.856
KOECRI,2,MI,2.155
KOECRI,3,MI,1.645
KOECRI,4,MI,2.416
KOECRI,5,MI,1.483
KOECRI,2,MW,1.878
KOECRI,5,MW,1.153
KOECRI,6,MW,2.118
KOECRI,1,SO,1.836
KOECRI,2,SO,1.395
KOECRI,3,SO,1.815
LESCAP,2,MW,3.517
LESCAP,2,SO,4.089
LIACYL,1,NA,0.923
LIACYL,3,NA,2.01
LIACYL,4,NA,0.859
LIACYL,5,NA,2.983
LIESCA,1,MW,4.26
LUPPER,1,NA,7.433
LUPPER,2,NA,8.649
LUPPER,3,NA,8.49
LUPPER,4,NA,7.026
LUPPER,5,NA,12.609
MONPUN,1,NA,1.931
MONPUN,2,NA,2.557
MONPUN,3,NA,2.263
MONPUN,4,NA,3.049
MONPUN,5,NA,5.876
PARINT,1,NA,3.116
PARINT,2,NA,3.673
PARINT,3,NA,10.606
PENDIG,1,NA,5.19
PENDIG,2,NA,8.083
PENDIG,3,NA,8.217
PENDIG,4,NA,9.223
PENDIG,5,NA,6.923
POTARG,1,NA,16.257
POTARG,2,NA,13.47
POTARG,3,NA,15.249
POTARG,4,NA,10.192
POTARG,5,NA,7.417
PYCTEN,1,NA,1.145
PYCTEN,2,NA,0.833
PYCTEN,3,NA,1.116
PYCTEN,4,NA,0.937
PYCTEN,5,NA,1.037
RATPIN,1,MI,10.628
RATPIN,2,MI,18.22
RATPIN,1,MW,12.423
RATPIN,4,MW,18.444
RATPIN,5,MW,15.22
RATPIN,1,SO,43.211
RATPIN,2,SO,10.253
RATPIN,3,SO,31.88
RUDHIR,1,MI,3.238
RUDHIR,2,MI,11.129
RUDHIR,3,MI,7.996
RUDHIR,4,MI,12.398
RUDHIR,5,MI,7.457
RUDHIR,2,MW,6.977
RUDHIR,4,MW,9.845
RUDHIR,5,MW,11.712
RUDHIR,3,SO,8.649
RUDHIR,5,SO,12.959
RUDHIR,6,SO,16.409
RUDTRI,1,NA,21.172
RUDTRI,2,NA,18.011
RUDTRI,3,NA,21.973
RUDTRI,4,NA,17.688
RUDTRI,5,NA,26.076
SCHSCO,1,MI,5.274
SCHSCO,2,MI,9.78
SCHSCO,2,MW,4.241
SCHSCO,3,MW,6.06
SCHSCO,4,MW,6.052
SENHEB,4,NA,8.807
SENHEB,5,NA,6.53
SILINT,1,NA,20.698
SILINT,2,NA,19.499
SILINT,3,NA,24.303
SILLAC,1,NA,21.688
SILLAC,2,NA,16.909
SILLAC,3,NA,21.322
SILTER,1,NA,21.828
SOLRIG,1,NA,2.386
SOLRIG,2,NA,3.699
SOLRIG,3,NA,4.154
SOLRIG,4,NA,6.91
SOLRIG,5,NA,2.692
SOLSPE,1,NA,7.094
SOLSPE,2,NA,9.774
SOLSPE,3,NA,9.443
SOLSPE,4,NA,9.82
SORNUT,1,NA,15.188
SORNUT,2,NA,7.372
SORNUT,3,NA,8.904
SORNUT,4,NA,26.222
SPAPEC,4,NA,8.366
SPOCRY,1,NA,2.988
SPOCRY,2,NA,5.576
SPOCRY,3,NA,3.471
SPOCRY,4,NA,6.539
SPOCRY,5,NA,4.562
SYMERI,1,NA,1.722
SYMERI,2,NA,1.117
SYMERI,3,NA,2.173
SYMERI,4,NA,2.903
SYMERI,5,NA,3.766
SYMNOV,1,NA,6.458
SYMNOV,2,NA,5.856
SYMNOV,3,NA,7.007
SYMNOV,4,NA,6.503
SYMNOV,5,NA,5.768
TEPVIR,1,NA,6.194
TEPVIR,2,NA,5.919
TEPVIR,3,NA,3.213
TEPVIR,4,NA,5.526
TEPVIR,5,NA,3.05
TRAOHI,1,NA,8.772
TRAOHI,2,NA,5.068
TRAOHI,3,NA,12.472
TRAOHI,4,NA,12.502
TRAOHI,5,NA,10.234
VERFAS,1,NA,6.976
VERSTR,1,NA,6.959
VERSTR,2,NA,8.383
VERSTR,4,NA,6.615
VERSTR,5,NA,4.138
VERSTR,6,NA,6.536
VERVIR,1,NA,3.768
VERVIR,2,NA,3.999
VERVIR,3,NA,5.53
VERVIR,4,NA,4.797
VERVIR,5,NA,6.575
ZIZAUR,1,NA,10.63791591
ZIZAUR,2,NA,11.25224028
ZIZAUR,3,NA,13.72023097
ZIZAUR,4,NA,13.8867976
ZIZAUR,5,NA,14.20207254
ZIZAUR,6,NA,14.24851675
ZIZAUR,7,NA,18.03092784
ZIZAUR,8,NA,18.37037037
ZIZAUR,9,NA,19.58762494
ZIZAUR,10,NA,21.58
