accepted_name,seeded,n,family,sla,height,seedmass
Symphyotrichum urophyllum,1,,Asteraceae,,0.914,
Symphyotrichum pilosum,0,157,Asteraceae,,0.91,0.000648
Euthamia graminifolia,0,134,Asteraceae,,0.6,0.000106
Mollugo verticillata,0,97,Molluginaceae,,0.2,0.0000901
Phytolacca heterotepala,0,89,Phytolaccaceae,,,
Eragrostis spectabilis,0,87,Poaceae,,0.27,0.000257
Phytolacca americana,0,68,Phytolaccaceae,,2.425,0.006869571
Panicum dichotomiflorum,0,57,Poaceae,,0.7,0.000731
Taraxacum officinale,0,39,Asteraceae,,,0.000682793
Verbena urticifolia,0,34,Verbenaceae,,,0.00046
Pseudognaphalium obtusifolium,0,32,Asteraceae,,,0.000038
Solidago altissima,0,32,Asteraceae,,,0.0000932
Paspalum setaceum,0,30,Poaceae,,,0.00098
Toxicodendron radicans,0,29,Anacardiaceae,,,0.01686
Bromus kalmii,0,26,Poaceae,,0.91,0.002497222
Morus alba,0,24,Moraceae,,13,0.004701111
Hypochaeris radicata,0,19,Asteraceae,,0.32,0.000814
Elaeagnus umbellata,0,17,Elaeagnaceae,,4.6,0.0152625
Solanum americanum,0,12,Solanaceae,,1,0.000859
Fagopyrum esculentum,0,11,Polygonaceae,,0.828333333,0.025273
Danthonia spicata,0,9,Poaceae,,,0.000892
Morus rubra,0,9,Moraceae,,20.56,0.001448667
Cyperus lupulinus,0,5,Cyperaceae,,,
Elymus virginicus,0,5,Poaceae,,0.76,0.004918556
Acer rubrum,0,4,Sapindaceae,,24.52,0.019932063
Geum canadense,0,3,Rosaceae,,1.2,0.00515
Hackelia virginiana,0,3,Boraginaceae,,,0.0026
Potentilla simplex,0,3,Rosaceae,,,
Pyrus calleryana,0,3,Rosaceae,,6.5,0.0129
Rubus occidentalis,0,3,Rosaceae,,1.8,0.0013645
Desmodium paniculatum,0,2,Fabaceae,,0.91,0.00273
Euphorbia maculata,0,2,Euphorbiaceae,,,0.000177
Gamochaeta purpurea,0,2,Asteraceae,,0.3,0.0000383
Quercus velutina,0,2,Fagaceae,,24.495,1.851821111
Asclepias amplexicaulis,0,1,Apocynaceae,,,0.0106
Astragalus canadensis,0,1,Fabaceae,,0.15,0.001749667
Circaea canadensis,0,1,Onagraceae,,,0.00264
Eragrostis cilianensis,0,1,Poaceae,,0.303333333,0.0000713
Erechtites hieraciifolius,0,1,Asteraceae,,,0.00056
Gleditsia triacanthos,0,1,Fabaceae,,27.16,0.176454889
Juncus dichotomus,0,1,Juncaceae,,0.88,
Lespedeza hirta,0,1,Fabaceae,,1.8,0.0029105
Lonicera maackii,0,1,Caprifoliaceae,,4.9,0.0030625
Scrophularia lanceolata,0,1,Scrophulariaceae,,1.5,0.000156
Sporobolus heterolepis,0,1,Poaceae,,0.7,0.0011365
Symphyotrichum lanceolatum,0,1,Asteraceae,,1.8,0.000418
Digitaria cognata,0,,Poaceae,,,0.00055
Melilotus albus,0,,Fabaceae,,1.5,0.002233695
Rhus typhina,0,,Anacardiaceae,,7.28,0.0123925
Ulmus pumila,0,,Ulmaceae,,21,0.006606584
Vitis aestivalis,0,,Vitaceae,,9.1,0.0314525
Vitis riparia,0,,Vitaceae,,14,0.05514
